DPTO,MPIO,CODIGO_DE_LA_ARL,AÑO_DE_INFORME,MES_DE_INFORME,ACTIVEC,RELA_DEP,RELA_INDEP,PRESUACCIDETRASUCE,MUERTES_REPOR_AT,NUEVAPENSIOINVA_R_AT,NUEVAPENSIOINVA_R_EL,INCAPERMAPARCIAR_AT,INCAPERMAPARCIAR_EL
VALLE DEL CAUCA,ANDALUCIA,1423,2024,10,5016101,0,0,0,0,0,0,0,0
CUNDINAMARCA,FUSAGASUGA,1423,2024,10,1649101,0,0,0,0,0,0,0,0
ANTIOQUIA,EL CARMEN DE VIBORAL,1423,2024,10,2016101,0,0,0,0,0,0,0,0
CORDOBA,SAN PELAYO,1423,2024,10,1841301,2,0,0,0,0,0,0,0
NARIÑO,TANGUA,1423,2024,10,2014101,3,0,0,0,0,0,0,0
VALLE DEL CAUCA,EL CERRITO,1423,2024,10,3473101,1,0,0,0,0,0,0,0
VALLE DEL CAUCA,CALI,1423,2024,10,5522201,0,0,0,0,0,0,0,0
CALDAS,MANIZALES,1423,2024,10,2202901,1,0,0,0,0,0,0,0
ANTIOQUIA,CAREPA,1423,2024,10,2551101,13,0,0,0,0,0,0,0
PUTUMAYO,SAN MIGUEL,1423,2024,10,3861001,9,227,1,1,1,0,0,0
ANTIOQUIA,MEDELLIN,1423,2024,10,3381101,80,1,0,0,0,0,0,0
CORDOBA,MOÑITOS,1423,2024,10,2862101,0,0,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,10,3282101,17,0,0,0,0,0,0,0
CUNDINAMARCA,SOACHA,1423,2024,10,4331201,18,2,0,0,0,0,0,0
SANTANDER,BUCARAMANGA,1423,2024,10,3104001,4,0,0,0,0,0,0,0
CUNDINAMARCA,SIMIJACA,1423,2024,10,3452001,2,0,0,0,0,0,0,0
SUCRE,SAN LUIS DE SINCE,1423,2024,10,2032101,0,0,0,0,0,0,0,0
LA GUAJIRA,URIBIA,1423,2024,10,4492101,103,0,0,0,0,0,0,0
CUNDINAMARCA,CHIA,1423,2024,10,1823001,8,2,0,0,0,0,0,0
CAUCA,POPAYAN,1423,2024,10,3619001,40,2,1,1,1,1,0,0
ARAUCA,SARAVENA,1423,2024,10,3562101,8,0,0,0,0,0,0,0
BOYACA,CHITARAQUE,1423,2024,10,1477301,0,0,0,0,0,0,0,0
CESAR,VALLEDUPAR,1423,2024,10,4492301,48,0,0,0,0,0,0,0
BOLIVAR,TURBACO,1423,2024,10,1475301,1,0,0,0,0,0,0,0
ANTIOQUIA,BELLO,1423,2024,10,3453001,33,0,0,0,0,0,0,0
ANTIOQUIA,APARTADO,1423,2024,10,2862202,0,0,0,0,0,0,0,0
SUCRE,SAN ONOFRE,1423,2024,10,3473101,5,0,0,0,0,0,0,0
VALLE DEL CAUCA,YUMBO,1423,2024,10,4812901,10,2,0,0,0,0,0,0
ARAUCA,TAME,1423,2024,10,5383001,5,0,0,0,0,0,0,0
ATLANTICO,BARRANQUILLA,1423,2024,10,2012201,20,0,1,1,1,0,0,0
CASANARE,YOPAL,1423,2024,10,1960201,12,0,0,0,0,0,0,0
CALDAS,VILLAMARIA,1423,2024,10,3360001,149,23,4,4,4,0,0,0
BOLIVAR,SANTA ROSA,1423,2024,10,4492101,0,0,0,0,0,0,0,0
META,SAN MARTIN,1423,2024,10,2472301,37,0,2,2,2,0,0,0
ANTIOQUIA,GIRARDOTA,1423,2024,10,1799001,0,0,0,0,0,0,0,0
ARAUCA,FORTUL,1423,2024,10,2014102,2,1,0,0,0,0,0,0
RISARALDA,PUEBLO RICO,1423,2024,10,5432201,0,0,0,0,0,0,0,0
LA GUAJIRA,MAICAO,1423,2024,10,1900401,0,0,0,0,0,0,0,0
PUTUMAYO,PUERTO CAICEDO,1423,2024,10,1477301,5,0,0,0,0,0,0,0
CUNDINAMARCA,FUSAGASUGA,1423,2024,10,1749001,147,0,0,0,0,0,0,0
SANTANDER,LOS SANTOS,1423,2024,10,2016102,2,0,0,0,0,0,0,0
CUNDINAMARCA,FUNZA,1423,2024,10,3782001,43,0,0,0,0,0,0,0
ANTIOQUIA,RIONEGRO,1423,2024,10,2475201,25,0,0,0,0,0,0,0
VALLE DEL CAUCA,JAMUNDI,1423,2024,10,1465101,0,0,0,0,0,0,0,0
BOLIVAR,EL CARMEN DE BOLIVAR,1423,2024,10,5711001,0,0,0,0,0,0,0,0
VALLE DEL CAUCA,CARTAGO,1423,2024,10,2014501,47,0,0,0,0,0,0,0
CASANARE,VILLANUEVA,1423,2024,10,1471101,64,1,0,0,0,0,0,0
CALDAS,MANIZALES,1423,2024,10,3271101,0,0,0,0,0,0,0,0
NARIÑO,SAN ANDRES DE TUMACO,1423,2024,10,3432201,12,0,1,1,1,0,0,0
VALLE DEL CAUCA,TULUA,1423,2024,10,3942001,5,0,0,0,0,0,0,0
CAQUETA,VALPARAISO,1423,2024,10,3473101,0,0,0,0,0,0,0,0
CUNDINAMARCA,CARMEN DE CARUPA,1423,2024,10,1949101,4,0,0,0,0,0,0,0
BOYACA,TIBANA,1423,2024,10,4475201,0,0,0,0,0,0,0,0
CAQUETA,FLORENCIA,1423,2024,10,1889001,365,308,0,0,0,0,0,0
CAQUETA,FLORENCIA,1423,2024,10,2811001,12,0,0,0,0,0,0,0
TOLIMA,ESPINAL,1423,2024,10,1855301,182,0,0,0,0,0,0,0
CUNDINAMARCA,SUESCA,1423,2024,10,3382101,0,0,0,0,0,0,0,0
CORDOBA,PLANETA RICA,1423,2024,10,1471901,12,0,0,0,0,0,0,0
TOLIMA,IBAGUE,1423,2024,10,5432901,17,3,0,0,0,0,0,0
META,PUERTO GAITAN,1423,2024,10,5411101,8,0,0,0,0,0,0,0
BOYACA,TURMEQUE,1423,2024,10,1471101,6,0,0,0,0,0,0,0
SANTANDER,GIRON,1423,2024,10,3461001,2,0,0,0,0,0,0,0
MAGDALENA,ARACATACA,1423,2024,10,1852101,0,0,0,0,0,0,0,0
CUNDINAMARCA,SOPO,1423,2024,10,2619001,0,0,0,0,0,0,0,0
N. DE SANTANDER,SALAZAR,1423,2024,10,3106202,0,0,0,0,0,0,0,0
CORDOBA,PLANETA RICA,1423,2024,10,3475201,3,0,0,0,0,0,0,0
LA GUAJIRA,FONSECA,1423,2024,10,2862102,32,4,0,0,0,0,0,0
QUINDIO,PIJAO,1423,2024,10,4492101,6,0,0,0,0,0,0,0
CALDAS,VILLAMARIA,1423,2024,10,1941101,1,0,0,0,0,0,0,0
PUTUMAYO,ORITO,1423,2024,10,2855201,9,0,0,0,0,0,0,0
BOYACA,SOGAMOSO,1423,2024,10,3782001,0,3,0,0,0,0,0,0
ANTIOQUIA,YALI,1423,2024,10,1949101,1,0,0,0,0,0,0,0
CASANARE,YOPAL,1423,2024,10,3721001,8,6,0,0,0,0,0,0
ANTIOQUIA,ENVIGADO,1423,2024,10,2466301,35,0,0,0,0,0,0,0
TOLIMA,IBAGUE,1423,2024,10,3932901,15,0,0,0,0,0,0,0
CAQUETA,MORELIA,1423,2024,10,1970001,4,0,0,0,0,0,0,0
PUTUMAYO,ORITO,1423,2024,10,1466901,4,0,0,0,0,0,0,0
VALLE DEL CAUCA,SAN PEDRO,1423,2024,10,4201201,73,0,1,1,1,0,0,0
SANTANDER,EL PLAYON,1423,2024,10,2012101,0,0,0,0,0,0,0,0
SANTANDER,CONTRATACION,1423,2024,10,1642401,0,0,0,0,0,0,0,0
QUINDIO,ARMENIA,1423,2024,10,3861001,648,1060,11,11,11,0,0,0
SANTANDER,PIEDECUESTA,1423,2024,10,1471901,0,0,0,0,0,0,0,0
ANTIOQUIA,CARAMANTA,1423,2024,10,2472101,0,0,0,0,0,0,0,0
ANTIOQUIA,MARINILLA,1423,2024,10,2011301,21,0,0,0,0,0,0,0
GUAVIARE,SAN JOSE DEL GUAVIARE,1423,2024,10,3619001,0,0,0,0,0,0,0,0
SUCRE,COVEÑAS,1423,2024,10,4432101,0,0,0,0,0,0,0,0
ANTIOQUIA,SAN PEDRO,1423,2024,10,3382101,0,0,0,0,0,0,0,0
BOLIVAR,MAGANGUE,1423,2024,10,3782001,0,0,0,0,0,0,0,0
CAQUETA,FLORENCIA,1423,2024,10,3151201,3,0,0,0,0,0,0,0
ANTIOQUIA,GUARNE,1423,2024,10,2475201,3,0,0,0,0,0,0,0
VALLE DEL CAUCA,VERSALLES,1423,2024,10,1477301,0,0,0,0,0,0,0,0
CHOCO,ALTO BAUDO,1423,2024,10,5351101,0,0,0,0,0,0,0,0
SANTANDER,PIEDECUESTA,1423,2024,10,1851301,22,0,0,0,0,0,0,0
CESAR,VALLEDUPAR,1423,2024,10,1681001,148,0,0,0,0,0,0,0
META,PUERTO LOPEZ,1423,2024,10,3561901,20,0,0,0,0,0,0,0
HUILA,RIVERA,1423,2024,10,3311001,1,0,0,0,0,0,0,0
ANTIOQUIA,CAUCASIA,1423,2024,10,4293001,2,0,0,0,0,0,0,0
